SSM Health St. Clare Hospital-Baraboo,447,520057,Baraboo,Wis.,Nonprofit and/or government,SSM Health,51-100,,,Midwest,No,,,Yes,Yes,Yes,https://www.ssmhealth.com/SSMHealth/media/Documents/patients-and-visitors/financial-assistance/english-charity-care.pdf,"Some, but not all",https://www.ssmhealth.com/SSMHealth/media/Documents/patients-and-visitors/financial-assistance/english-billing-collecting-patient-liabilities.pdf,200% FPl,Blue,201%-400%,Blue,"Yes, with exceptions (FAP page 6, letter B)","Yes, but no standards specified",Blue,,Yes*,Blue,"Yes (Billing and Collections policy page 2, number III)",No**,Purple,"Yes, per the Billing and Collections policy, however, “During the pandemic, SSM’s financial assistance policy was modified to not pursue extraordinary collection efforts which includes any legal action.” Per Patrick Kampert ","Yes, per the Billing and Collections policy, however, “During the pandemic, SSM’s financial assistance policy was modified to not pursue extraordinary collection efforts which includes any legal action.” Per Patrick Kampert – ",Yes*,Blue,No**,Purple,"*Allowed, but not current practice, according to spokesperson Patrick Kampert
**According to Kampert","*""Duting the pandemic, SSM's financial assistance policy was modified to not pursue extraordniary collection efforts which includes any legal action"" per Patrick Kampert",,http://www.stclare.com/,,04625
Mayo Clinic Health System-Eau Claire,448,520070,Eau Claire,Wis.,Nonprofit and/or government,Mayo Clinic,101-250,,Yes,Midwest,No,,,No,"Yes. First link is ""payments"" page and FAP is on that page at the bottom.",Yes,https://mcforms.mayo.edu/mc5800-mc5899/mc5815-13.pdf?_ga=2.266502990.1543814473.1644876594-2123679861.1644876594,Yes,https://mcforms.mayo.edu/mc5800-mc5899/mc5815-49.pdf?_ga=2.35243233.1543814473.1644876594-2123679861.1644876594,200% FPL,Blue,200%-400% FPL,Blue,Yes,"Yes, but no standards specified*",Purple,No,No,Blue,Yes,No,Blue,Yes,Yes,Yes,Blue,Yes,Blue,*According to spokesperson Justin Furst,,"Comments from Justin (Jay) Furst:

Reports credit -- ""Mayo Clinic has extensive financial assistance programs in place for patients who do not have the ability to pay for care. We work with patients to create reasonable and extended payment plans when needed, and we often provide financial assistance if a patient is unable to pay their bill.""

Collection agencies -- ""Mayo Clinic and third-party partners work with patients to establish payment plans to assist patients with personal balances. In addition, Mayo Clinic uses third-party debt collection partners when other measures to assist the patient with payment options have failed.""

Sells debt -- ""Mayo Clinic has extensive financial assistance programs in place for patients who do not have the ability to pay for care. We work with patients to create reasonable and extended payment plans when needed, and we often provide financial assistance if a patient is unable to pay their bill. Collection action is a last resort used in rare situations only after other measures to assist patients have failed.""

Sues patients -- ""but only if the patient has the ability to pay and refuses to pay their medical bills or the patient receives payment through insurance and refuses to pay their hospital bills""

Liens / Wages -- ""but only after securing a judgment from a court of law after offering financial assistance, payment plans and notice to the patient before commencing a lawsuit.""

Restricts care -- ""but only in limited circumstances where the patient does not qualify for financial assistance and has the ability to pay the bills.""",https://www.mayoclinichealthsystem.org/locations/eau-claire,,22300
Fort Memorial Hospital,449,520071,Fort Atkinson,Wis.,Nonprofit and/or government,,26-50,,,Midwest,No,,,Yes-- financial aid,Yes,Yes,https://skqjm2qo294159sjl13cw0k1-wpengine.netdna-ssl.com/wp-content/uploads/2022/02/Financial-Assistance-Policy-2022-2.28.22.pdf,"Some, but not all",https://skqjm2qo294159sjl13cw0k1-wpengine.netdna-ssl.com/wp-content/uploads/2022/02/Financial-Assistance-Policy-2022-2.28.22.pdf,200% FPL,Blue,201%-400% FPL,Blue,Not mentioned in policy but not a practice of the hospital according to Jim Nelson,"Yes, but no standards specified*",Purple,Not mentioned in policy but no residency restriction according to Jim Nelson,Yes,Blue,Yes according to the FAP,No*,Purple,This is an action the collection agency may take according to the FAP,This is an action the collection agency may take according to the FAP,Yes,Blue,No*,Purple,*According to spokesperson Jim Nelson,,,http://www.forthealthcare.com/,,26675
Gundersen Lutheran Medical Center,450,520087,La Crosse,Wis.,Nonprofit and/or government,Gundersen Health System,More than 250,,,Midwest,No,,,Yes-- directly on homepage,Yes,Yes,https://www.gundersenhealth.org/patients-visitors/financial-assistance,"Some, but not all",https://www.gundersenhealth.org/patients-visitors/financial-assistance,200% FPL,Blue,201%-400% FPL,Blue,Yes assets are considered,Bills exceeding 25% of income,Blue,Unclear,Yes,Blue,Yes according to the billing and collections policy,No,Blue,This is a practice the hospital may take according to the billing and collections policy,This is a practice the hospital may take according to the billing and collections policy,Yes,Blue,Unclear*,,*No available policy and hospital did not provide data requested by KHN,,,http://www.gundluth.org/,,40775
Howard Young Medical Center,451,520091,Woodruff,Wis.,Nonprofit and/or government,Aspirus,26-50,,,Midwest,No,,,Yes,Yes,Yes,https://www.aspirus.org/Uploads/Public/Documents/Financial/Financial%20Assistance%20Policy%20-System.pdf,Yes,https://www.aspirus.org/Uploads/Public/Documents/Financial/Credit%20and%20Collection%20Policy%20-System.pdf,200% FPL,Blue,201%-300% FPL,Blue,Asset estimation is considered according to FAP ; Patient does not need to provide asset information if they are below 200% FPL according to Financial Assistance application ,Bills exceeding 25% of income,Blue,No; not mentioned in policy,Yes,Blue,Yes,No,Blue,No,Yes,Yes,Blue,No,Blue,,*** ask for Aspirus Credit and Collections policy,,http://www.ministryhealth.org/,*** website links to Ascension but is not on website - this hospital is on Aspirus wesite? https://www.aspirus.org/find-a-location/howard-young-medical-center-538,88925
Froedtert Menomonee Falls Hospital,452,520103,Menomonee Falls,Wis.,Nonprofit and/or government,Froedtert Health,101-250,,,Midwest,No,,,Yes,Yes,Yes,https://www.froedtert.com/sites/default/files/upload/docs/patients-visitors/bill/financial-assistance-policy-full-version-english.pdf,Yes,https://www.froedtert.com/sites/default/files/upload/docs/froedtert-health/patient/billing-and-collection-policy.pdf,250% FPL,Blue,251%-400% FPL,Blue,Yes assets are considered,No,Black,Yes must reside in Froedtert Health service area according to FAP,Yes*,Blue,Yes according to the Billing and Collections policy,Yes*,Blue,"No, this is an action the hospital may take according to the Billing and Collections policy but the hospital does not currently take this action according to Nalissa Wienke","This is an action the hospital may take according to the Billing and Collections policy --> the hospital does not currently garnish wages, but does place liens according to Nalissa Wienke ",Yes*,Blue,Yes*,Blue,"*Allowed, but not current practice, according to spokesperson Nalissa Wienke",,,https://www.froedtert.com/,,51000
Froedtert & Medical College of Wisconsin-Froedtert Hospital,453,520177,Milwaukee,Wis.,Nonprofit and/or government,Froedtert Health,More than 250,,,Midwest,No,,,Yes,Yes,Yes,https://www.froedtert.com/sites/default/files/upload/docs/patients-visitors/bill/financial-assistance-policy-full-version-english.pdf ,Yes,https://www.froedtert.com/sites/default/files/upload/docs/froedtert-health/patient/billing-and-collection-policy.pdf ,250% FPL,Blue,251%-400% FPL,Blue,Yes assets are considered,No,Black,Yes must reside in Froedtert Health service area according to FAP,Yes*,Blue,Yes according to the Billing and Collections policy,Yes*,Blue,"No, this is an action the hospital may take according to the Billing and Collections policy but the hospital does not currently take this action according to Nalissa Wienke","This is an action the hospital may take according to the Billing and Collections policy --> the hospital does not currently garnish wages, but does place liens according to Nalissa Wienke ",Yes*,Blue,Yes*,Blue,"*Allowed, but not current practice, according to spokesperson Nalissa Wienke",,,https://www.froedtert.com/,,75125
Aurora Medical Center-Oshkosh,454,520198,Oshkosh,Wis.,Nonprofit and/or government,Advocate Aurora Health,51-100,,,Midwest,No,,,Yes,Yes,Yes,https://www.aurorahealthcare.org/assets/documents/billing-insurance/financial-assistance-policy.pdf,"Some, but not all",https://www.aurorahealthcare.org/assets/documents/patients-visitors/ahc-collection-policy.pdf,250% FPL,Blue,N/A,Black,Not mentioned in the policy and not a practice of the hospital according to LeeAnn Betz,Bills exceeding 25% of income,Blue,"Yes, patients must permanently reside in Wisconsin or be a permanent resident within the
geographical locations that AAH provides services",Yes,Blue,Yes according to the Billing and Collections policy,No*,Purple,Not a practice of the hospital according to the Billing and Collections policy,Not a practice of the hospital according to the Billing and Collections policy,No,Blue,No,Blue,*According to spokesperson LeeAnn Betz,"According to FAP, "" AAH may defer or deny elective, preventive and/or routine services and procedures based on a financial assessment.",,http://www.aurorahealthcare.com/,,60500
Eagle River Hospital,455,521300,Eagle River,Wis.,Nonprofit and/or government,Aspirus,25 or fewer,,,Midwest,No,,,Yes,Yes,Yes,https://www.aspirus.org/Uploads/Public/Documents/Financial/Financial%20Assistance%20Policy%20-System.pdf,Yes,https://www.aspirus.org/Uploads/Public/Documents/Financial/Credit%20and%20Collection%20Policy%20-System.pdf,200% FPL,Blue,201%-300% FPL,Blue,Asset estimation is considered according to FAP ; Patient does not need to provide asset information if they are below 200% FPL according to Financial Assistance application ,Bills exceeding 25% of income,Blue,No; not mentioned in policy,Yes,Blue,Yes,No,Blue,No,Yes,Yes,Blue,No,Blue,,*** ask for Aspirus Credit and Collections policy,,http://www.ministryhealth.org/,,21625
Mayo Clinic Health System-Franciscan Healthcare in Sparta,456,521305,Sparta,Wis.,Nonprofit and/or government,Mayo Clinic,25 or fewer,,Yes,Midwest,No,,,No,"Yes. First link is ""payments"" page and FAP is on that page at the bottom.",Yes,https://mcforms.mayo.edu/mc5800-mc5899/mc5815-25.pdf?_ga=2.199306734.1543814473.1644876594-2123679861.1644876594,Yes,https://mcforms.mayo.edu/mc5800-mc5899/mc5815-49.pdf?_ga=2.26862461.1543814473.1644876594-2123679861.1644876594,200% FPL,Blue,200%-400% FPL,Blue,Yes,"Yes, but no standards specified*",Purple,No,No,Blue,Yes,No,Blue,Yes,Yes,Yes,Blue,Yes,Blue,*According to spokesperson Justin Furst,,"Comments from Justin (Jay) Furst:

Reports credit -- ""Mayo Clinic has extensive financial assistance programs in place for patients who do not have the ability to pay for care. We work with patients to create reasonable and extended payment plans when needed, and we often provide financial assistance if a patient is unable to pay their bill.""

Collection agencies -- ""Mayo Clinic and third-party partners work with patients to establish payment plans to assist patients with personal balances. In addition, Mayo Clinic uses third-party debt collection partners when other measures to assist the patient with payment options have failed.""

Sells debt -- ""Mayo Clinic has extensive financial assistance programs in place for patients who do not have the ability to pay for care. We work with patients to create reasonable and extended payment plans when needed, and we often provide financial assistance if a patient is unable to pay their bill. Collection action is a last resort used in rare situations only after other measures to assist patients have failed.""

Sues patients -- ""but only if the patient has the ability to pay and refuses to pay their medical bills or the patient receives payment through insurance and refuses to pay their hospital bills""

Liens / Wages -- ""but only after securing a judgment from a court of law after offering financial assistance, payment plans and notice to the patient before commencing a lawsuit.""

Restricts care -- ""but only in limited circumstances where the patient does not qualify for financial assistance and has the ability to pay the bills.""",https://www.mayoclinichealthsystem.org/locations/sparta,,75325
Amery Hospital & Clinic,457,521308,Amery,Wis.,Nonprofit and/or government,HealthPartners,25 or fewer,,,Midwest,No,,,Yes,Yes ,Yes,https://www.healthpartners.com/content/dam/brand-identity/pdfs/care/amery-financial-assistance-policy.pdf,"Some, but not all",https://www.healthpartners.com/content/dam/brand-identity/pdfs/care/amery-billing-collections-policy.pdf,200% FPL,Blue,201%-300% FPL,Blue,Yes assets are considered according to the FAP,No,Black,No,Yes*,Purple,Yes according to the Billing and Collections policy,No*,Purple,This is a practice of the hospital according to the billing and collections policy,This is a practice of the hospital according to the billing and collections policy,Yes,Blue,Yes,Blue,*According to spokesperson Annelise Heitkamp,,,http://www.amerymedicalcenter.org/,,01725
Aspirus Merrill Hospital,458,521339,Merrill,Wis.,Nonprofit and/or government,Aspirus,25 or fewer,,,Midwest,No,,,Yes,Yes,Yes,https://www.aspirus.org/Uploads/Public/Documents/Financial/Financial%20Assistance%20Policy%20-System.pdf,Yes,https://www.aspirus.org/Uploads/Public/Documents/Financial/Credit%20and%20Collection%20Policy%20-System.pdf,200% FPL,Blue,201%-300% FPL,Blue,Asset estimation is considered according to FAP ; Patient does not need to provide asset information if they are below 200% FPL according to Financial Assistance application ,Bills exceeding 25% of income,Blue,No; not mentioned in policy,Yes,Blue,Yes,No,Blue,No,Yes,Yes,Blue,No,Blue,,*** ask for Aspirus Credit and Collections policy,,http://www.ministryhealth.org/,,51250
Richland Hospital Clinic,459,521341,Richland Center,Wis.,Nonprofit and/or government,,25 or fewer,,,Midwest,No,,,Yes,Yes,Yes,https://www.richlandhospital.com/patients-visitors/financial-assistance/,"Some, but not all",https://www.richlandhospital.com/patients-visitors/financial-assistance/,150% FPL,Blue,151%-300% FPL,Blue,No (according to Shawna Connor),No,Black,Not mentioned in policy but not a practice of the hospital according to Shawna Connor,Yes,Blue,Yes according to the billing and collections policy,No*,Purple,This is an action the hospital may take according to Shawna Connor,"The hospital may garnish wages. Richland hospital does not place liens, but the collections agencies may take this action (according to Shawna Connor)",Yes*,Purple,No*,Purple,*According to spokesperson Shawna Connor,,,http://www.richlandhospital.com/,,67625
Gundersen Boscobel Area Hospital and Clinics,460,521344,Boscobel,Wis.,Nonprofit and/or government,Gundersen Health System,25 or fewer,,,Midwest,No,,,Yes,Yes,Yes,https://www.gundersenhealth.org/patients-visitors/financial-assistance,"Some, but not all",https://www.gundersenhealth.org/patients-visitors/financial-assistance,200% FPL,Blue,201%-400% FPL,Blue,"Yes, assets must be below 600% FPL for financial assistance",Bills exceeding 25% of income,Blue,Unclear,Yes,Blue,Yes according to the billing and collections policy,No,Blue,This is a practice the hospital may take according to the billing and collections policy,This is a practice the hospital may take according to the billing and collections policy,Yes,Blue,Unclear*,Red,*Not mentioned in policy and hospital did not provide data requested by KHN,,,http://gundersenhealth.org/boscobel,,08850
Children’s Hospital of Wisconsin-Fox Valley Hospital,461,523302,Neenah,Wis.,Nonprofit and/or government,Children's Hospital and Health System,25 or fewer,,,Midwest,No,,,Yes,Yes,Yes,https://childrenswi.org/-/media/chwlibrary/files/patient-family-experience/billing/financial-assistance/financial-assistance-policy.pdf,"Some, but not all",https://childrenswi.org/-/media/chwlibrary/files/patient-family-experience/billing/financial-assistance/billing-and-collection-for-self-pay-amounts.pdf,300% FPL,Blue,301%-400% FPL,Blue,Yes assets are considered according to the FAP,"Yes, but no standards specified",Blue,"Yes but unclear what the ""geographic service area"" includes",Yes,Blue,Yes according to the billing and collections policy,Unclear*,Red,Yes; This is a practice of the hospital according to the billing and collections policy,Yes; This is a practice of the hospital according to the billing and collections policy,Yes,Blue,Unclear*,Red,*Not mentioned in policy and hospital did not provide data requested by KHN,"may refer accounts to ""attorney office"" according to billing and collections policy",,http://www.chw.org/,,55750
Sheridan Memorial Hospital,462,530006,Sheridan,Wyo.,Nonprofit and/or government,,51-100,,,West,No,,,No,Yes-- info on how to request financial assistance,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,Ask for FAP -- couldnt find on website,,http://www.sheridanhospital.org/,,69845
Weston County Health Services,463,531303,Newcastle,Wyo.,Nonprofit and/or government,Monument Health,51-100,,,West,No,,,No,No,No,,No,,200% FPL*,Purple,201%-275%* FPL,Purple,Yes according to Maureen Cadwell,No,Black,No according to Maureen Cadwell,Yes*,Purple,Yes according to Maureen Cadwell,No*,Purple,Yes this is practice of the hospital according to Maureen Cadwell,Yes this is practice of the hospital according to Maureen Cadwell,Yes*,Purple,Yes*,Purple,*According to CEO Maureen Cadwell,,"* Dan Daly (from Monument health) stated that their ""relationship with Weston County is completely hands off"".  ",http://www.wchs-wy.org/,,56215
Community Hospital,464,531307,Torrington,Wyo.,Nonprofit and/or government,Banner Health,25 or fewer,,,West,No,,,"Yes, bottom of page",Yes,Yes,https://www.bannerhealth.com/-/media/files/project/bh/patients-visitors/billing/acute_financial-assistance-policy-for-hospital-patients_english.ashx,No,,200% FPL,Blue,200%-400% FPL,Blue,"Yes, according to Appendix A of the Financial Assistance Policy",Bills exceeding 50% of income,Blue,No,Yes,Blue,Yes,Yes*,Blue,"Yes, according to the billing and collection policy, but not a practice of the hospital, according to David Lozano","Yes, according to the billing and collection policy, but not a practice of the hospital, according to David Lozano",Yes*,Blue,Yes,Blue,"*Allowed, but not current practice, according to spokesperson David Lozano","B&C only available to patients upon request

https://drive.google.com/file/d/1aW089J-eBkB0nUB2Mifs_qcE0dD8jj2k/view?usp=sharing",,https://www.bannerhealth.com/locations/torrington/community-hospital?y_source=1_MTE5MDczNjQtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,,77530
North Big Horn Hospital District,465,531309,Lovell,Wyo.,Nonprofit and/or government,,51-100,,,West,No,,,Yes,Yes,Yes,https://www.nbhh.com/docs/Financial_Assistance_Policy_01272022.pdf,"Some, but not all",https://www.nbhh.com/docs/Patient_Billing_and_Collections_Policy_01272022.pdf,100% FPL,Blue,100%-400% FPL,Blue,Yes assets must be below 200% FPL,Bills exceeding 25% of income,Blue,Not mentioned in policy,Yes,Blue,"No; not mentioned in policy, but not a practice, according to Joan Zier",No*,Purple,This is a practice of the hospital according to the billing and collections policy,This is a practice of the hospital according to the billing and collections policy,Yes,Blue,No,Blue,"*According to Joan Zier, revenue cycle director",,,http://www.nbhh.com/,,47950
Niobrara County Hospital District,466,531314,Lusk,Wyo.,Nonprofit and/or government,,25 or fewer,,,West,No,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,http://www.niobrarahospital.com/,,48530
St. Mark’s Medical Center,467,670004,La Grange,Texas,Nonprofit and/or government,Community Hospital Corp.,51-100,,,South ,No,,,yes,"no, no search results come up",Yes,https://www.smmctx.org/docs/FAP_052021.pdf,No,,300% FPL,Blue,301%-400% of FPL and bills exceeding 10% of income,Blue,"Yes, assets are considered ",Bills exceeding 10% of income,Blue,No,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,http://www.smmctx.org/,,40276
Foundation Surgical Hospital of San Antonio,468,670054,San Antonio ,Texas,For-profit,,25 or fewer,,,South ,No,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,https://www.fshsanantonio.com/,
Methodist Hospital Stone Oak,469,670055,San Antonio ,Texas,For-profit,HCA Healthcare,More than 250,,,South ,No,,,No,"No, checked on 4/20/22",No,,No,,200% FPL*,Purple,201%-400% FPL*,Purple,"No, according to HCA spokesman Harlow Sumerford",Liability capped at 4% of income**,Purple,"No, according to HCA spokesman Harlow Sumerford",No**,Purple,"Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford",No**,Purple,"No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary",No**,Purple,No**,Purple,"*According to online summary
**According to spokesperson Harlow Sumerford",All info here from corporate document or Sumerford,,http://sahealth.com/locations/methodist-stone-oak-hospital/,
CHI St. Luke’s Health-Lakeside Hospital,470,670059,The Woodlands,Texas,Nonprofit and/or government,CommonSpirit Health,26-50,,,South ,No,,,no,"yes, easy to find through search",Yes,https://www.stlukeshealth.org/patients-visitors/patients/billing-insurance/financial-assistance,"Some, but not all",https://www.stlukeshealth.org/patients-visitors/patients/billing-insurance/financial-assistance,200% FPL,Blue,201%-400% FPL,Blue,"Yes, according to Dan Loeterman",No,Black,resitricted to patients who live within the CommonSpirit entity service area,Yes,Blue,Yes,Yes*,Blue,"No; Not mentioned in policy, but not a practice of the hospital, according to Dan Loeterman","No; Not mentioned in policy, but not a practice of the hospital, according to Dan Loeterman",No**,Purple,No**,Purple,"*Allowed, but not a current practice, according to spokesperson Dan Loeterman
**According to Loeterman",,,https://www.stlukeshealth.org/locations/lakeside-hospital,,72656
Texas Health Heart & Vascular Hospital ,471,670071,Arlington,Texas,Nonprofit and/or government*,Texas Health,26-50,,,South ,No,,,Yes,Yes,Yes,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Financial-Assistance/Financial-Assistance-THR-System-Policy.pdf,Yes,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Financial-Assistance/Financial-Assistance-THR-System-Policy.pdf,200% FPL,Blue,201%-500% of FPL and bills exceeding 5% income,,assets are considered according to the FAP ,Bills exceeding 20% of income,Blue,Not mentioned in policy but no residency restrictions according to Chandra Caradine,Yes*,Blue,Yes according to the FAP,Yes,Blue,"No, not a practice of the hospital according to the FAP","No, not a practice of the hospital according to the FAP",No,Blue,No,Blue,"*Allowed, but not current practice, according to spokesperson Kimberly Walton ","The only ECA the hospital takes according to the FAP is credit reporting: page 9 point 5.5 ""The
only ECA which will be carried out under this policy will be the reporting of adverse
information to a consumer credit agency either by a Texas Health hospital/urgent care
facility or one of its agents""",,http://texashealthheartandvascular.org/,,04000
Houston Methodist West Hospital,472,670077,Houston,Texas,Nonprofit and/or government,Houston Methodist,101-250,,Yes,South ,No,,,no,yes,Yes,https://www.houstonmethodist.org/-/media/pdf/for-patients/bill_pay/english/fa_full.ashx,"Some, but not all",https://www.houstonmethodist.org/-/media/pdf/for-patients/bill_pay/english/collection_policy.ashx,200% FPL,Blue,201%-500% FPL,Blue,no,Bills exceeding 10% of income,Blue,no,No,Blue,"yes, according to collections policy",No*,Purple,"no, according to the collections policy this is not a practice of the hospital or third party collections agencies","no, according to the collections policy this is not a practice of the hospital or third party collections agencies",No,Blue,No,Blue,*According to spokesperson Stefanie Asin,"FAP and billing and collections policy easy to find through search and both available in many languages. They also have a chat function for billing questions -- FAP seems great-- they provide assistance for those above 500%, and do not use any ECAs",,http://www.methodisthealth.com/  *** provided website does not work-- is this one correct? https://www.houstonmethodist.org/ ,,35000
Advanced Diagnostics Hospital East,473,670102,Houston,Texas,For-profit,,25 or fewer,,,South ,No,,,No,No-- no results come up regarding financial assistance,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,Ask for FAP,,Advanced Diagnostics Healthcare System | Houston Hospitals & Clinics (adhealthcare.com),,35000
The Hospitals of Providence Transmountain Campus,474,670120,El Paso,Texas,For-profit,Tenet Healthcare,101-250,,,South ,No,,,No,No,No,,No,,200% FPL*,Purple,N/A,Black,"No, according to Lesley Bogdanow",Bills exceeding 10% of income*,Purple,"No, according to Lesley Bogdanow",No*,Purple,"Yes; no available policy, but is a practice, according to Lesley Bogdanow",No*,Purple,"No; no available policy, but not a practice, according to Lesley Bogdanow","No; no available policy, but not a practice, according to Lesley Bogdanow",No*,Purple,No*,Purple,*According to spokesperson Lesley Bogdanow,"Literally no information about financial aid on the website, but there is a link to setting up a payment plan - https://www.thehospitalsofprovidence.com/patients/payment-plan-agreements",,https://www.thehospitalsofprovidence.com/,,24000
Baylor Scott & White Medical Center-Austin,475,670136,Austin,Texas,Nonprofit and/or government,Baylor Scott & White Health,25 or fewer,,,South ,No,,,no,yes but search bar is hard to find ,Yes,https://www.bswhealth.com/sitecollectiondocuments/patient-tools/patient-registration-and-billing/financial-assistance-policy.pdf,"Some, but not all",https://www.bswhealth.com/sitecollectiondocuments/patient-tools/patient-registration-and-billing/patient-billing-and-collections-policy.pdf,200% FPL,Blue,201%-500% FPL and bills exceeding 5% of income,Blue,Assets may be considered based on the financial assistance application,No,Black,Must be U.S. Citizen or resident of the U.S. and live in counties covered by BSWH community needs health assessment,Yes*,Blue,yes according to billing and collections policy (page 2),No**,Purple,Not mentioned in the policy but not a practice of the hospital according to Jennifer Mcdowell,Liens not a practice of the hospital according to Billing and collections policy. Garnishing wages not mentioned in the policy but not a practice of the hospital according to Jennifer Mcdowell,No**,Purple,Yes**,Purple,"*Allowed, but not current practice, according to spokesperson Jennifer McDowell
**According to McDowell",,,https://www.bswhealth.com/locations/austin-medical-center/pages/default.aspx,,05000
CapRock Hospital,476,670259,Bryan,Texas,For-profit,,25 or fewer,,,South ,No,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,https://caprockhealthsystem.com/,,10912
Kingwood Emergency Hospital,477,670285,Kingwood,Texas,For-profit,,25 or fewer,,,South ,No,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,Ask for FAP **** even though they dont have the FAP on the website they do have a lot of helpful information for the patient about their bill,,https://kingwood247er.com/about-kingwood-emergency-center/,
Mayo Clinic-Rochester,478,240010,Rochester,Minn.,Nonprofit and/or government,Mayo Clinic,More than 250,,Yes,Midwest,Yes,,,Yes - at bottom of page,Yes,Yes,https://mcforms.mayo.edu/mc5800-mc5899/mc5815-03.pdf?_ga=2.18218736.893551613.1625594045-1471609073.1625255087,Yes,https://mcforms.mayo.edu/mc5800-mc5899/mc5815-49.pdf?_ga=2.90561491.893551613.1625594045-1471609073.1625255087,200% FPL,Blue,200%-400% FPL,Blue,Yes,"Yes, but no standards specified*",Purple,No,No,Blue,Yes,No,Blue,Yes,Yes,Yes,Blue,Yes,Blue,*According to spokesperson Justin Furst,,"Comments from Justin (Jay) Furst:

Reports credit -- ""Mayo Clinic has extensive financial assistance programs in place for patients who do not have the ability to pay for care. We work with patients to create reasonable and extended payment plans when needed, and we often provide financial assistance if a patient is unable to pay their bill.""

Collection agencies -- ""Mayo Clinic and third-party partners work with patients to establish payment plans to assist patients with personal balances. In addition, Mayo Clinic uses third-party debt collection partners when other measures to assist the patient with payment options have failed.""

Sells debt -- ""Mayo Clinic has extensive financial assistance programs in place for patients who do not have the ability to pay for care. We work with patients to create reasonable and extended payment plans when needed, and we often provide financial assistance if a patient is unable to pay their bill. Collection action is a last resort used in rare situations only after other measures to assist patients have failed.""

Sues patients -- ""but only if the patient has the ability to pay and refuses to pay their medical bills or the patient receives payment through insurance and refuses to pay their hospital bills""

Liens / Wages -- ""but only after securing a judgment from a court of law after offering financial assistance, payment plans and notice to the patient before commencing a lawsuit.""

Restricts care -- ""but only in limited circumstances where the patient does not qualify for financial assistance and has the ability to pay the bills.""",,,54880
Cleveland Clinic,479,360180,Cleveland,Ohio,Nonprofit and/or government,Cleveland Clinic Health System,More than 250,,Yes,Midwest,Yes,,,Yes - at bottom of page,Yes,Yes,https://my.clevelandclinic.org/patients/billing-finance/financial-assistance#ohio-nevada-tab,"Some, but not all",https://my.clevelandclinic.org/patients/billing-finance/financial-assistance#ohio-nevada-tab,250% FPL,Blue,251%-400% FPL,Blue,No,Bills exceeding 15% of income,Blue,Yes (Ohio),No,Blue,Yes,No*,Purple,Yes,No,Yes,Blue,No,Blue,*According to spokesperson Angela Smith,,,,,16014
